"Country or Area";"Year";"Area";"Sex";"Age";"Record Type";"Reliability";"Source Year";"Value";"Value Footnotes"
"Poland";"2018";"Total";"Male";"96";"Estimate - de jure";"Final figure, complete";"2019";"2018";"1"
"Poland";"2018";"Total";"Male";"97";"Estimate - de jure";"Final figure, complete";"2019";"1350";"1"
"Poland";"2018";"Total";"Male";"98";"Estimate - de jure";"Final figure, complete";"2019";"782";"1"
"Poland";"2018";"Total";"Male";"99";"Estimate - de jure";"Final figure, complete";"2019";"352";"1"
"Poland";"2018";"Total";"Male";"100 +";"Estimate - de jure";"Final figure, complete";"2019";"1123";"1"
"Poland";"2018";"Total";"Female";"Total";"Estimate - de jure";"Final figure, complete";"2019";"19596388";"1"
"Poland";"2018";"Total";"Female";"0";"Estimate - de jure";"Final figure, complete";"2019";"192000";"1"
"Poland";"2018";"Total";"Female";"0 - 4";"Estimate - de jure";"Final figure, complete";"2019";"923095";"1"
"Poland";"2018";"Total";"Female";"1";"Estimate - de jure";"Final figure, complete";"2019";"187153";"1"
"Poland";"2018";"Total";"Female";"1 - 4";"Estimate - de jure";"Final figure, complete";"2019";"731095";"1"
"Poland";"2018";"Total";"Female";"2";"Estimate - de jure";"Final figure, complete";"2019";"181001";"1"
"Poland";"2018";"Total";"Female";"3";"Estimate - de jure";"Final figure, complete";"2019";"182719";"1"
"Poland";"2018";"Total";"Female";"4";"Estimate - de jure";"Final figure, complete";"2019";"180222";"1"
"Poland";"2018";"Total";"Female";"5";"Estimate - de jure";"Final figure, complete";"2019";"189104";"1"
"Poland";"2018";"Total";"Female";"5 - 9";"Estimate - de jure";"Final figure, complete";"2019";"995771";"1"
